Funding Organization|Abbreviation|Country|Partner Sponsor Code|Childhood Category
Cancer Australia|CancerAust|AU|CancerAust|Some
Cancer Institute New South Wales|CINSW|AU|CINSW|Skip
National Breast Cancer Foundation|NBCF|AU|NBCF|N
Alberta Cancer Foundation|ACF|CA|CCRA|Skip
Alberta Innovates - Health Solutions|AIHS|CA|CCRA|Skip
Brain Tumour Foundation of Canada|BTFC|CA|CCRA|Skip
Breast Cancer Society of Canada|BCSC|CA|CCRA|N
C17 Research Network|C17|CA|CCRA|Y
Canadian Association of Radiation Oncology|CARO|CA|CCRA|Skip
Canadian Breast Cancer Foundation|CBCF|CA|CCRA|N
Canadian Breast Cancer Research Alliance|CBCRA|CA|CCRA|N
Canadian Cancer Society|CCS|CA|CCRA|Skip
Canadian Institutes of Health Research|CIHR|CA|CCRA|Skip
Canadian Partnership Against Cancer|CPAC|CA|CCRA|Skip
Canadian Prostate Cancer Research Initiative|CPCRI|CA|CCRA|N
Canadian Tobacco Control Research Initiative|CTCRI|CA|CCRA|N
Cancer Care Nova Scotia|CCNS|CA|CCRA|Skip
Cancer Care Ontario|CCO|CA|CCRA|Skip
Cancer Research Society|CRS|CA|CCRA|Skip
CancerCare Manitoba|CCMB|CA|CCRA|Skip
Fonds de la recherche du Québec – Santé|FRQS|CA|CCRA|Skip
Foundation du cancer du sein du Québec / Quebec Breast Cancer Foundation|QBCF|CA|CCRA|Skip
Genome Canada|GC|CA|CCRA|Skip
Michael Smith Foundation for Health Research|MSFHR|CA|CCRA|Skip
National Research Council of Canada|NRC|CA|CCRA|Skip
Natural Sciences and Engineering Research Council|NSERC|CA|CCRA|Skip
New Brunswick Health Research Foundation|NBHRF|CA|CCRA|Skip
Newfoundland and Labrador Centre for Applied Health Research|NLCAHR|CA|CCRA|Skip
Nova Scotia Health Research Foundation|NSHRF|CA|CCRA|Skip
Ontario Institute for Cancer Research|OICR|CA|CCRA|Skip
Ovarian Cancer Canada|OCC|CA|CCRA|N
Pancreatic Cancer Canada|PANCCACA|CA|CCRA|N
Pediatric Oncology Group of Ontario|POGO|CA|CCRA|Y
PROCURE|PROCURE|CA|CCRA|Skip
Prostate Cancer Canada|PCC|CA|CCRA|N
Research Manitoba|RESMB|CA|CCRA|Skip
Saskatchewan Cancer Agency|SCA|CA|CCRA|Skip
Saskatchewan Health Research Foundation|SHRF|CA|CCRA|Skip
The Kidney Foundation of Canada|KFOC|CA|CCRA|Skip
The Leukemia & Lymphoma Society of Canada|LLSC|CA|CCRA|Skip
The Terry Fox Research Institute|TFRI|CA|CCRA|Skip
DGOS-Ministère de la Santé|DGOS|FR|INCa|Some
Institut National du Cancer|INCa|FR|INCa|Some
National Cancer Center, Japan|NCC, Japan|JP|NCC|Some
KWF Kankerbestrijding / Dutch Cancer Society|KWF|NL|KWF|Some
Association for International Cancer Research|AICR|UK|NCRI|Skip
Biotechnology & Biological Sciences Research Council|BBSRC|UK|NCRI|Skip
Breakthrough Breast Cancer|Breakthrough|UK|NCRI|N
Breast Cancer Campaign|Breast Can Cam|UK|NCRI|N
Cancer Research UK|CR-UK|UK|NCRI|Skip
Children with CANCER UK|CWL|UK|NCRI|Y
Department of Health|DOH|UK|NCRI|Skip
Economic and Social Research Council|ESRC|UK|NCRI|Skip
Leukaemia and Lymphoma Research|LRF|UK|NCRI|Skip
Macmillan Cancer Support|Macmillan|UK|NCRI|Skip
Marie Curie Cancer Care|MCCC|UK|NCRI|Skip
Medical Research Council|MRC|UK|NCRI|Skip
Northern Ireland Health & Social Care - R & D Office|NI R&D|UK|NCRI|Skip
Prostate Cancer UK|PRC|UK|NCRI|N
Roy Castle Lung Cancer Foundation|Roy Castle|UK|NCRI|N
Scottish Government Health Directorates - Chief Scientist Office|Scotland|UK|NCRI|Skip
Tenovus|Tenovus|UK|NCRI|Skip
Wellcome Trust|Wellcome Trust|UK|NCRI|Skip
Welsh Assembly Government - Office of R & D|WAL|UK|NCRI|Skip
Worldwide Cancer Research|WCR|UK|NCRI|Skip
Yorkshire Cancer Research|YCR|UK|NCRI|Skip
American Cancer Society|ACS|US|ACS|Some
American Institute for Cancer Research|AICR (USA)|US|AICR (USA)|Some
American Society for Radiation Oncology|ASTRO|US|ASTRO|SKip
Avon Foundation for Women|AVONFDN|US|AVONFDN|N
Alex's Lemonade Stand Foundation|ALSF|US|CAC2|Y
Bradens' Hope For Childhood Cancer|BHCC|US|CAC2|Y
Coalition Against Childhood Cancer|CAC2|US|CAC2|Y
CSCN Alliance|CSCN|US|CAC2|Y
Luck2Tuck|L2T|US|CAC2|Y
Noah's Light|NL|US|CAC2|Y
Sammy's Superheroes|SSH|US|CAC2|Y
Steven G Aya foundation|SGAYA|US|CAC2|Y
TayBandz|TBZ|US|CAC2|Y
Team Connor|TC|US|CAC2|Y
The Pediatric Brain Tumor Foundation|PBTF|US|CAC2|Y
California Breast Cancer Research Program|CBCRP|US|CBCRP|N
U. S. Department of Defense, CDMRP|DOD, CDMRP|US|CDMRP|Some
Susan G. Komen for the Cure|KOMEN|US|KOMEN|N
Eunice Kennedy Shriver National Institute of Child Health and Human Development|HD|US|NIH|Some
Fogarty International Center|TW|US|NIH|Some
National Cancer Institute|NCI|US|NIH|Some
National Center for Advancing Translational Sciences|TR|US|NIH|Some
National Center for Complementary and Alternative Medicine|AT|US|NIH|Some
National Center for Research Resources|RR|US|NIH|Some
National Eye Institute|EY|US|NIH|Some
National Heart, Lung and Blood Institute|HL|US|NIH|Some
National Human Genome Research Institute|HG|US|NIH|Some
National Institute of Allergy and Infectious Diseases|AI|US|NIH|Some
National Institute of Arthritis and Musculoskeletal and Skin Diseases|AR|US|NIH|Some
National Institute of Biomedical Imaging and Bioengineering|EB|US|NIH|Some
National Institute of Dental and Craniofacial Research|DE|US|NIH|Some
National Institute of Diabetes and Digestive and Kidney Diseases|DK|US|NIH|Some
National Institute of Environmental Health Sciences|ES|US|NIH|Some
National Institute of General Medical Sciences|GM|US|NIH|Some
National Institute of Mental Health|MH|US|NIH|Some
National Institute of Neurological Disorders and Stroke|NS|US|NIH|Some
National Institute of Nursing Research|NR|US|NIH|Some
National Institute on Aging|AG|US|NIH|N
National Institute on Alcohol Abuse and Alcoholism|AA|US|NIH|Some
National Institute on Deafness and Other Communication Disorders|DC|US|NIH|Some
National Institute on Drug Abuse|DA|US|NIH|Some
National Institute on Minority Health and Health Disparities|MD|US|NIH|Some
National Library of Medicine|LM|US|NIH|Some
Office of the Director|OD|US|NIH|Some
National Pancreas Foundation|NPF|US|NPF|N
Oncology Nursing Society Foundation|ONSF|US|ONS|Some
Pancreatic Cancer Action Network|PanCAN|US|PanCAN|N
